id,buyerName,lenderName,address,recordingDate,saleValue,loanAmount
766,FVR GROUP TWENTYONE LLC,ANCHOR LOANS LP,3445 TILDEN AVE,2024-11-22,1380000,1242000
767,BYE BYE HOUSE INC,CENTER STREET LNDG VIII SPE LL,2531 WELLESLEY AVE,2024-11-22,1555000,1628345
768,FVR GROUP NINETEEN LLC,ANCHOR LOANS LP,10775 TABOR ST,2024-11-22,1225000,1364000
769,DEPICTEUR INC,KIAVI FUNDING INC,5924 ANNAN WAY,2024-11-22,900000,936000
770,6100 STRICKLAND LLC,LIVING TRUST OF LILIA FAUSTO,6108 STRICKLAND AVE,2024-11-22,1400000,1120000
771,612 JUANITA AVE LLC,ARIXA ENHANCED INCOME FUND LP,612 N JUANITA AVE,2024-11-22,2200000,1760000
772,612 JUANITA AVE LLC,ARIXA ENHANCED INCOME FUND LP,616 N JUANITA AVE,2024-11-22,2200000,1760000
773,MS83 INVESTMENTS LLC,GENESIS CAPITAL LLC,8260 WALL ST,2024-11-22,450000,423000
774,START REMODELING LLC,PENDERGAST MARIA,1253 E 104TH ST,2024-11-22,500000,500000
775,305 AUTO ADVERTISING INC,LOAN FUNDER LLC,1828 W 50TH ST,2024-11-21,625000,553500
776,KS AND HS INC,HL3 SIERRA LLC,1622 S BERENDO ST,2024-11-21,897500,628200
777,LYUWG INVESTMENT LLC,BLUEBONO LLC,2702 REYNIER AVE,2024-11-21,1065000,843700
778,ALL CASH BABY LLC,KIAVI FUNDING INC,4925 BUCHANAN ST,2024-11-21,1075000,1069800
779,VJM LLC,STERK INVS INC,515 W 70TH ST,2024-11-21,570000,484000
780,1158-1160 W 37TH STREET LLC,CALIFORNIA CREDIT UNION,1158 W 37TH ST,2024-11-20,3700000,1850000
781,LOS TRES CABALLEROS LLC,KIAVI FUNDING INC,3912 BERENICE AVE,2024-11-20,750000,745000
782,12422 PACIFIC LLC,LOGAN FINANCE CORPORATION,12422 PACIFIC AVE APT 1,2024-11-20,1300000,1039999
783,LONDON DAIRY CO LLC,GENESIS CAPITAL LLC,1364 LONDONDERRY PL,2024-11-20,2900000,3308000
784,TAPE AND MUD LLC,NG RAYMOND,911 E 81ST ST,2024-11-20,475000,460000
785,LYONZDEN INVESTMENTS,ORCHARD FUNDING,5111 CIMARRON ST,2024-11-19,640000,652500
786,CHIMAY ENTERPRISES LLC,ANCHOR LOANS LP,2801 JEFFRIES AVE,2024-11-19,890000,1070949
787,LA23L LLC,WHGG TRUST,10509 WILKINS AVE,2024-11-19,2100000,3112360
788,367 LA JOLLA LLC,BARH DUNMORE LLC,367 N LA JOLLA AVE,2024-11-19,1900000,2720000
